PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-15209005-n,i117006,n,omw-en31-15208263-n,Christian holy day,Християнське свято,Християнське свято,Християнський святий день,Christian holy day,релігійне свято для християн,a religious holiday for Christians,"religious holiday, holy day","quarter day; holy day of obligation; Saint Agnes's Eve, January 20; Easter Sunday, Easter Day; Palm Sunday; Passion Sunday; Good Friday; Low Sunday; Holy Saturday; Holy Innocents' Day, Innocents' Day; Septuagesima, Septuagesima Sunday; Quinquagesima, Quinquagesima Sunday; Quadragesima, Quadrigesima Sunday; Trinity Sunday; Rogation Day; Maundy Thursday, Holy Thursday; Corpus Christi; Saints Peter and Paul, June 29; Epiphany, Epiphany of Our Lord, Twelfth day, Three Kings' Day, January 6; Saint Joseph, St Joseph, March 19; Twelfth night; All Souls' Day, November 2; Ash Wednesday; Ember Day; Advent Sunday; Mardi Gras, Shrove Tuesday, Fat Tuesday, pancake day; Transfiguration, Transfiguration Day, August 6"
omw-en31-15185913-n,i116884,n,omw-en31-15208263-n,quarter day,чверть дня,четвертний день,"день чверті, Четвертий день",quarter day,християнський святий день,a Christian holy day; one of four specified days when certain payments are due,Christian holy day,"Martinmas, St Martin's Day, 11 November; Annunciation, Lady Day, Annunciation Day, March 25; Michaelmas, Michaelmas Day, September 29; Candlemas, Candlemas Day, Feb 2; Lammas, Lammas Day, August 1; Christmas, Christmas Day, Xmas, Dec 25; Midsummer Day, Midsummer's Day, St John's Day, June 24; Pentecost, Whitsunday"
omw-en31-14911952-n,i115310,n,omw-en31-14911456-n,glucoside,глюкозид,глюкозид,глюкозид,glucoside,"глікозид, отриманий з глюкози",a glycoside derived from glucose,glycoside,amygdalin; saponin
omw-en31-07887916-n,i78583,n,omw-en31-07641102-n,meat pie,м'ясний пиріг,м'ясний пиріг,м'ясний пиріг,meat pie,"пиріг з м'яса або птиці, укладений у тісто або покритий тістом або бісквітним тістом",pie made with meat or fowl enclosed in pastry or covered with pastry or biscuit dough,pie,pasty; tourtiere; shepherd's pie; steak and kidney pie; kidney pie
omw-en31-11478731-n,i97801,n,omw-en31-11442711-n,fog,туман,туман,туман,fog,краплі водяної пари підвішені в повітрі біля землі,droplets of water vapor suspended in the air near the ground,aerosol,"fogbank; ice fog, pogonip; mist; pea soup, pea-souper"
omw-en31-03477355-n,i54525,n,omw-en31-04292284-n,gymnastic apparatus,гімнастичні снаряди,гімнастичний снаряд,"тренажер, гімнастичний апарат","gymnastic apparatus, exerciser","спортивний інвентар, що використовується в гімнастичних вправах",sports equipment used in gymnastic exercises,sports equipment,"balance beam, beam; horizontal bar, high bar; horse, gymnastic horse; parallel bars, bars; rings; stall bar; trampoline"
omw-en31-03543217-n,i54918,n,omw-en31-04292284-n,horse,кінь,кінь,"кінь, гімнастичний кінь","horse, gymnastic horse",м'який гімнастичний апарат на ногах,a padded gymnastic apparatus on legs,"gymnastic apparatus, exerciser","pommel horse, side horse; vaulting horse, long horse, buck"
omw-en31-10108159-n,i89946,n,omw-en31-10499603-n,film maker,режисер,кінорежисер,режисер,"film maker, filmmaker, film producer, movie maker",продюсер кінофільмів,a producer of motion pictures,producer,"auteur; film director, director; New Waver; Allen, Woody Allen, Allen Stewart Konigsberg; Bertolucci, Bernardo Bertolucci; Capra, Frank Capra; Chaplin, Charlie Chaplin, Sir Charles Spencer Chaplin; Cocteau, Jean Cocteau; Coppola, Francis Ford Coppola; DeMille, Cecil B. DeMille, Cecil Blount DeMille; De Sica, Vittorio De Sica; Disney, Walt Disney, Walter Elias Disney; Eisenstein, Sergei Eisenstein, Sergei Mikhailovich Eisenstein; Fellini, Federico Fellini; Ford, John Ford; Godard, Jean Luc Godard; Goldwyn, Sam Goldwyn, Samuel Goldwyn; Griffith, D. W. Griffith, David Lewelyn Wark Griffith; Hughes, Howard Hughes, Howard Robard Hughes; Huston, John Huston; Jewison, Norman Jewison; Kieslowski, Krzysztof Kieslowski; Korda, Sir Alexander Korda, Sandor Kellner; Kubrick, Stanley Kubrick; Kurosawa, Akira Kurosawa; Lee, Spike Lee, Shelton Jackson Lee; Lubitsch, Ernst Lubitsch; Lucas, George Lucas; Mayer, Louis B. Mayer, Louis Burt Mayer; Pollack, Sydney Pollack; Redford, Robert Redford, Charles Robert Redford; Russell, Ken Russell, Henry Kenneth Alfred Russell; Scorsese, Martin Scorsese; Selznick, David O. Selznick, David Oliver Selznick; Sennett, Mack Sennett; Spielberg, Steven Spielberg; Stevens, George Stevens; Stone, Oliver Stone; Tarantino, Quentin Tarantino, Quentin Jerome Tarantino; Tarkovsky, Andrei Tarkovsky, Andrei Arsenevich Tarkovsky; Tati, Jacques Tati, Jacques Tatischeff; Truffaut, Francois Truffaut; Visconti, Luchino Visconti, Don Luchino Visconti Conte di Modrone; von Sternberg, Josef von Sternberg; Wajda, Andrzej Wajda; Warner, Charles Dudley Warner; Welles, Orson Welles, George Orson Welles; Wilder, Billy Wilder, Samuel Wilder; Wyler, William Wyler; Zanuck, Darryl Zanuck, Darryl Francis Zanuck; Zinnemann, Fred Zinnemann"
omw-en31-10384342-n,i91660,n,omw-en31-10447768-n,nuclear physicist,фізик-ядерник,ядерний фізик,"фізик -ядерник, Фізик-ядерник",nuclear physicist,"фізик, який спеціалізується на ядерній фізиці",a physicist who specializes in nuclear physics,physicist,"Anderson, Carl Anderson, Carl David Anderson; Bethe, Hans Bethe, Hans Albrecht Bethe; Bohr, Niels Bohr, Niels Henrik David Bohr; Born, Max Born; Bose, Satyendra N. Bose, Satyendra Nath Bose; Broglie, de Broglie, Louis Victor de Broglie; Cockcroft, Sir John Cockcroft, Sir John Douglas Cockcroft; Compton, Arthur Compton, Arthur Holly Compton; Dirac, Paul Adrien Maurice Dirac; Fermi, Enrico Fermi; Feynman, Richard Feynman, Richard Phillips Feynman; Frisch, Otto Frisch, Otto Robert Frisch; Gell-Mann, Murray Gell-Mann; Glaser, Donald Glaser, Donald Arthur Glaser; Heisenberg, Werner Karl Heisenberg; Hertz, Gustav Hertz, Gustav Ludwig Hertz; Herzberg, Gerhard Herzberg; Lawrence, E. O. Lawrence, Ernest Orlando Lawrence; Lee, Tsung Dao Lee; Mayer, Marie Goeppert Mayer; Meitner, Lise Meitner; Mossbauer, Rudolf Ludwig Mossbauer; Muller, Karl Alex Muller; Oppenheimer, Robert Oppenheimer; Pauli, Wolfgang Pauli; Sakharov, Andrei Sakharov, Andrei Dimitrievich Sakharov; Schrodinger, Erwin Schrodinger; Szilard, Leo Szilard; Tamm, Igor Tamm, Igor Yevgeneevich Tamm; Teller, Edward Teller; Walton, E. T. S. Walton, Ernest Walton, Ernest Thomas Sinton Walton; Wigner, Eugene Wigner, Eugene Paul Wigner; Wilson, Charles Thomson Rees Wilson; Yukawa, Hideki Yukawa"
omw-en31-10720829-n,i93599,n,omw-en31-09839665-n,tennis player,тенісист,тенісист,Тенісист,tennis player,"спортсмен, який грає в теніс",an athlete who plays tennis,"athlete, jock; player, participant","receiver; tennis pro, professional tennis player; Ashe, Arthur Ashe, Arthur Robert Ashe; Budge, Don Budge, John Donald Budge; Connolly, Maureen Catherine Connolly, Little Mo Connolly; Connors, Jimmy Conors, James Scott Connors; Court, Margaret Court; Davis, Dwight Davis, Dwight Filley Davis; Evert, Chris Evert, Chrissie Evert, Christine Marie Evert; Gibson, Althea Gibson; Graf, Steffi Graf, Stephanie Graf; King, Billie Jean King, Billie Jean Moffitt King; Laver, Rod Laver, Rodney George Laver; Lendl, Ivan Lendl; Moody, Helen Wills Moody, Helen Wills, Helen Newington Wills; Navratilova, Martina Navratilova; Seles, Monica Seles; Tilden, Big Bill Tilden, William Tatem Tilden Jr.; Wade, Virginia Wade"
